Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9
Wavelength (nm),Frequency (Hz),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.000,-5.505E-14,-1.813,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.050,-4.565E-14,-1.813,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.100,-3.186E-14,-1.822,1.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.150,-5.017E-14,-1.837,1.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.200,-3.894E-14,-1.849,1.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.250,-5.334E-14,-1.849,1.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.300,-4.810E-14,-1.853,1.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.350,-5.408E-14,-1.867,1.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.400,-4.871E-14,-1.885,1.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.450,-6.201E-14,-1.898,1.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.500,-5.151E-14,-1.897,1.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.550,-5.847E-14,-1.897,1.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.600,-7.336E-14,-1.898,1.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.650,-7.056E-14,-1.898,1.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.700,-7.068E-14,-1.911,1.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.750,-7.300E-14,-1.918,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.800,-6.934E-14,-1.918,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.850,-7.556E-14,-1.918,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.900,-7.861E-14,-1.918,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.950,-7.190E-14,-1.918,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.000,-8.118E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.050,-8.240E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.100,-8.838E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.150,-8.582E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.200,-9.570E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.250,-8.374E-14,-1.918,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.300,-8.948E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.350,-9.888E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.400,-9.375E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.450,-9.827E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.500,-1.007E-13,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.550,-9.619E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.600,-9.814E-14,-1.919,1.92
