Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.6,1.2,4.23,,0.00604,1.00E-06,1.636,0.002,0.0096119,8.00E-06,7,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,
,,,,,,,,,,,0.25,0.69,0,0,0.25,0.69,0,0,0.25,0.69,0,0,0.25,0.69,0,0,0.25,0.69,0,0,0.25,0.69,0,0,0.25,0.67,-0.56,-4.32,0.25,0.69,0,0,0.25,0.69,0,0,0.25,0.68,0.11,8.07,0.25,0.69,0,0
,,,,,,,,,,,0.26,0.69,0,0,0.26,0.69,0,0,0.26,0.69,0,0,0.26,0.69,0,0,0.26,0.69,0,0,0.26,0.69,0,0,0.26,0.66,-0.6,-4.32,0.26,0.69,0,0,0.26,0.69,0,0,0.26,0.69,0.16,-3.53,0.26,0.69,0,0
,,,,,,,,,,,0.27,0.69,0,0,0.27,0.69,0,0,0.27,0.69,0,0,0.27,0.69,0,0,0.27,0.69,0,0,0.27,0.69,0,0,0.27,0.65,-0.65,-4.48,0.27,0.69,0,0,0.27,0.69,0,0,0.27,0.69,0.04,-9.28,0.27,0.69,0,0
,,,,,,,,,,,0.28,0.69,0,0,0.28,0.69,0,0,0.28,0.69,0,0,0.28,0.69,0,0,0.28,0.69,0,0,0.28,0.69,0,0,0.28,0.65,-0.69,-3.7,0.28,0.69,0,0,0.28,0.69,0,0,0.28,0.69,-0.03,-2.24,0.28,0.69,0,0
,,,,,,,,,,,0.29,0.69,0,0,0.29,0.69,0,0,0.29,0.69,0,0,0.29,0.69,0,0,0.29,0.69,0,0,0.29,0.69,0,0,0.29,0.64,-0.72,-2.17,0.29,0.69,0,0,0.29,0.69,0,0,0.29,0.69,-0.01,-4.39,0.29,0.69,0,0
,,,,,,,,,,,0.3,0.69,0,0,0.3,0.69,0,0,0.3,0.69,0,0,0.3,0.69,0,0,0.3,0.69,0,0,0.3,0.69,0,0,0.3,0.63,-0.74,-2.16,0.3,0.69,0,0,0.3,0.69,0,0,0.3,0.69,-0.11,-5.76,0.3,0.69,0,0
,,,,,,,,,,,0.31,0.69,0,0,0.31,0.69,0,0,0.31,0.69,0,0,0.31,0.69,0,0,0.31,0.69,0,0,0.31,0.69,0,0,0.31,0.63,-0.76,-2.32,0.31,0.69,0,0,0.31,0.69,0,0,0.31,0.68,-0.12,5.59,0.31,0.69,0,0
,,,,,,,,,,,0.32,0.69,0,0,0.32,0.69,0,0,0.32,0.69,0,0,0.32,0.69,0,0.09,0.32,0.69,0,0,0.32,0.69,0,0,0.32,0.62,-0.78,-1.45,0.32,0.69,0,0,0.32,0.69,0,0,0.32,0.68,0,6.36,0.32,0.69,0,0
,,,,,,,,,,,0.33,0.69,0,0,0.33,0.69,0,0,0.33,0.69,0,0,0.33,0.69,0,-0.43,0.33,0.69,0,0,0.33,0.69,0,0,0.33,0.61,-0.79,-0.36,0.33,0.69,0,0,0.33,0.69,0,0,0.33,0.68,0,1.21,0.33,0.69,0,0
,,,,,,,,,,,0.34,0.69,0,0,0.34,0.69,0,0,0.34,0.69,0,0,0.34,0.69,-0.01,-0.6,0.34,0.69,0,0,0.34,0.69,0,0,0.34,0.6,-0.79,0.17,0.34,0.69,0,0,0.34,0.69,0,0,0.34,0.68,0.02,4.73,0.34,0.69,0,0
,,,,,,,,,,,0.35,0.69,0,0,0.35,0.69,0,0,0.35,0.69,0,0,0.35,0.69,-0.01,0.43,0.35,0.69,0,0,0.35,0.69,0,0,0.35,0.59,-0.79,-8.71,0.35,0.69,0,0,0.35,0.69,0,0,0.35,0.68,0.1,3.35,0.35,0.69,0,0
,,,,,,,,,,,0.36,0.69,0,0,0.36,0.69,0,0,0.36,0.69,0,0,0.36,0.69,0,0.52,0.36,0.69,0,0,0.36,0.69,0,0,0.36,0.59,-0.96,1.25,0.36,0.69,0,0,0.36,0.69,0,0,0.36,0.69,0.09,-4.13,0.36,0.69,0,0
,,,,,,,,,,,0.37,0.69,0,0,0.37,0.69,0,0,0.37,0.69,0,0,0.37,0.69,0,0,0.37,0.69,0,0,0.37,0.69,0,0,0.37,0.57,-0.76,23.2,0.37,0.69,0,0,0.37,0.69,0,0,0.37,0.69,0.02,-3.18,0.37,0.69,0,0
